,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
56,2018-01-22,0.0,0.0,0.0,2018,1,22,0,0,0.0,1,20,1,20,1,20,1,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,75.0,3.3333333333333335,10.666666666666666,0.8948393168143698,1.3887943864964021e-11,4.9891093927950183e-20,0.36787944117144233,0.00028493048887656886,2.3195228302435696e-16,0.1690133154060661,0.1690133154060661,7.849175678309677e-06,6.838934727824874e-27,0.8948393168143698
57,2018-01-23,5.0,27.0,8.0,2018,1,23,1,1,20.0,1,30,1,30,1,30,1,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,75.0,3.3333333333333335,10.666666666666666,0.8649144172389205,8.606890178604721e-12,2.6381270294181677e-20,0.33370241075447066,0.00021656025755544176,4.0980960411175916e-16,0.14852091655171076,0.19146289967870542,5.649744546949397e-06,1.429047782650265e-26,0.8649144172389205
58,2018-01-24,0.0,10.0,3.0,2018,1,24,2,1,25.0,0,0,0,0,1,30,1,30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,75.0,4.666666666666667,11.333333333333334,0.8322075006903012,5.309883359214771e-12,1.3886691616029176e-20,0.30133083890551066,0.00016385096587198604,7.207688734079356e-16,0.12992260830505947,0.21591298091726488,4.048218864632775e-06,2.972593012420696e-26,0.8322075006903012
59,2018-01-25,0.0,0.0,0.0,2018,1,25,3,0,0.0,0,0,1,30,1,30,1,30,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,75.0,6.333333333333333,12.166666666666666,0.7971141629458125,3.2610248726700355e-12,7.276663454088607e-21,0.2708683284704635,0.00012340980408667956,1.2619447026583566e-15,0.11313897801910364,0.24238362999515986,2.8875503621930407e-06,6.155375693545423e-26,0.7971141629458125
60,2018-01-26,0.0,0.0,0.0,2018,1,26,4,0,0.0,0,0,1,30,1,30,1,30,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,75.0,6.333333333333333,12.166666666666666,0.760045927023468,1.9936717358377863e-12,3.795737739100092e-21,0.24238362999515986,9.252960973638543e-05,2.1994547780410763e-15,0.09807767964508253,0.2708683284704635,2.050338474493025e-06,1.2688318989310368e-25,0.760045927023468
61,2018-01-27,0.0,0.0,0.0,2018,1,27,5,0,0.0,1,30,1,30,1,30,1,30,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,75.0,6.333333333333333,12.166666666666666,0.7214222903547561,1.2133430395437822e-12,1.971017666651087e-21,0.21591298091726488,6.906248619019833e-05,3.816103628946825e-15,0.08463666150622445,0.30133083890551066,1.449278887147761e-06,2.603658507632229e-25,0.7214222903547561
62,2018-01-28,2.0,11.0,6.0,2018,1,28,6,1,25.0,0,0,0,0,1,30,1,30,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30.0,75.0,6.333333333333333,12.166666666666666,0.6816629478612286,7.35095839585829e-13,1.0188617225283034e-21,0.19146289967870542,5.131379054322775e-05,6.5910664926522654e-15,0.07270717596764426,0.33370241075447066,1.0197853771706282e-06,5.318563715269067e-25,0.6816629478612286
63,2018-01-29,0.0,0.0,0.0,2018,1,29,0,0,0.0,0,0,0,0,1,30,1,30,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30.0,75.0,8.0,11.0,0.6411803884299546,4.433377746328046e-13,5.242885663363464e-22,0.1690133154060661,3.795389888449303e-05,1.1332393247975474e-14,0.06217652402211632,0.36787944117144233,7.143252560542774e-07,1.0815214096490333e-24,0.6411803884299546
64,2018-01-30,0.0,0.0,0.0,2018,1,30,1,0,0.0,0,0,1,30,1,30,1,30,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,75.0,8.0,11.0,0.6003730411984044,2.661680480344294e-13,2.685690341941217e-22,0.14852091655171076,2.7945321209152884e-05,1.939625972470827e-14,0.05293050193270875,0.40372170860859763,4.980966734693725e-07,2.1893050878062735e-24,0.6003730411984044
65,2018-01-31,0.0,0.0,0.0,2018,1,31,2,0,0.0,0,0,1,30,1,30,1,30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,75.0,6.0,8.5,0.5596191218461927,1.5907704423661305e-13,1.3695310990003124e-22,0.12992260830505947,2.0482936846887517e-05,3.3047967556318703e-14,0.04485553036633267,0.441051290941554,3.4574960100244164e-07,4.411719196996002e-24,0.5596191218461927
