,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
1278,2017-11-13,0.0,0.0,0.0,2017,11,13,0,0,0.0,0,0,1,20,1,20,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.6666666666666665,0.00012340980408667956,0.06217652402211632,1.4945338524781451e-05,0.004320239474094066,0.7971141629458125,1.603810890548638e-28,0.01831563888873418,3.4836240728956334e-10,0.9909707162514318,6.933242467194433e-18,0.9909707162514318
1279,2017-11-14,0.0,0.0,0.0,2017,11,14,1,0,0.0,1,20,1,20,1,20,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.6666666666666665,0.00016385096587198604,0.05293050193270875,1.0855496653299211e-05,0.005383105741918052,0.8322075006903012,7.469255741829046e-29,0.022108538597039658,5.420835868877036e-10,0.9797986738537043,3.8015944193905344e-18,0.9797986738537043
1280,2017-11-15,172.0,748.0,400.5,2017,11,15,2,1,15.0,0,0,0,0,0,0,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.6666666666666665,0.00021656025755544176,0.04485553036633267,7.849175678309677e-06,0.006677108163747914,0.8649144172389205,3.4628359020592734e-29,0.026566137145725102,8.397144824858431e-10,0.9643690948860915,2.0750357571818113e-18,0.9643690948860915
1281,2017-11-16,0.0,0.0,0.0,2017,11,16,3,0,0.0,0,0,0,0,0,0,1,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.00028493048887656886,0.03784045853143394,5.649744546949397e-06,0.008244689844825922,0.8948393168143698,1.5981476628267853e-29,0.03177804641749838,1.2948737877910746e-09,0.9448875602748896,1.1274980485847069e-18,0.9448875602748896
1282,2017-11-17,0.0,0.0,0.0,2017,11,17,4,0,0.0,0,0,0,0,0,0,1,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.00037318957021707967,0.03177804641749838,4.048218864632775e-06,0.010134227381485734,0.9216104472977248,7.342303069252906e-30,0.03784045853143394,1.987712853292263e-09,0.9216104472977248,6.098688103116819e-19,0.9216104472977248
1283,2017-11-18,0.0,0.0,0.0,2017,11,18,5,0,0.0,0,0,0,0,1,30,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.0004865757746296883,0.026566137145725102,2.8875503621930407e-06,0.012400448027957603,0.9448875602748896,3.3579801181420154e-30,0.04485553036633267,3.0374578711408626e-09,0.8948393168143698,3.2838813589367143e-19,0.9448875602748896
1284,2017-11-19,0.0,0.0,0.0,2017,11,19,6,0,0.0,0,0,0,0,1,30,1,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.0006315414766389987,0.022108538597039658,2.050338474493025e-06,0.015104783999608878,0.9643690948860915,1.5288129205360447e-30,0.05293050193270875,4.62058847615921e-09,0.8649144172389205,1.760227914426155e-19,0.9643690948860915
1285,2017-11-20,0.0,0.0,0.0,2017,11,20,0,0,0.0,0,0,0,0,1,30,1,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.0008159878350721483,0.01831563888873418,1.449278887147761e-06,0.01831563888873418,0.9797986738537043,6.928847118330195e-31,0.06217652402211632,6.997045994265065e-09,0.8322075006903012,9.392490402701178e-20,0.9797986738537043
1286,2017-11-21,0.0,0.0,0.0,2017,11,21,1,0,0.0,0,0,0,0,1,30,1,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.0010495325222677763,0.015104783999608878,1.0197853771706282e-06,0.022108538597039658,0.9909707162514318,3.1260651434701166e-31,0.07270717596764426,1.0547816779454457e-08,0.7971141629458125,4.9891093927950183e-20,0.9909707162514318
1287,2017-11-22,0.0,0.0,0.0,2017,11,22,2,0,0.0,0,0,1,30,1,30,1,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,50.0,1.0,3.1666666666666665,0.0013438120398556223,0.012400448027957603,7.143252560542774e-07,0.026566137145725102,0.9977349953069204,1.4039947359662446e-31,0.08463666150622445,1.5828539209911236e-08,0.760045927023468,2.6381270294181677e-20,0.9977349953069204
1288,2017-11-23,0.0,0.0,0.0,2017,11,23,3,0,0.0,0,0,1,30,1,30,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,2.6666666666666665,0.00171281936882384,0.010134227381485734,4.980966734693725e-07,0.03177804641749838,1.0,6.277162123269114e-32,0.09807767964508253,2.3645554668615604e-08,0.7214222903547561,1.3886691616029176e-20,1.0
1289,2017-11-24,0.0,0.0,0.0,2017,11,24,4,0,0.0,1,30,1,30,1,20,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,1.0,2.1666666666666665,0.002173276647747907,0.008244689844825922,3.4574960100244164e-07,0.03784045853143394,0.9977349953069204,2.793776256466959e-32,0.11313897801910364,3.516321581057925e-08,0.6816629478612286,7.276663454088607e-21,0.9977349953069204
1290,2017-11-25,110.33333333333333,128.66666666666666,119.66666666666667,2017,11,25,5,1,25.0,0,0,1,30,1,20,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,0.5,0.002745041231162644,0.006677108163747914,2.3891319952628224e-07,0.04485553036633267,0.9909707162514318,1.237799517733768e-32,0.12992260830505947,5.205447572187675e-08,0.6411803884299546,3.795737739100092e-21,0.9909707162514318
1291,2017-11-26,0.0,0.0,0.0,2017,11,26,6,0,0.0,0,0,1,30,1,20,1,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,2.6666666666666665,1.3333333333333333,0.003451541830562535,0.005383105741918052,1.6434216793821234e-07,0.05293050193270875,0.9797986738537043,5.4593307522331215e-33,0.14852091655171076,7.671105893720845e-08,0.6003730411984044,1.971017666651087e-21,0.9797986738537043
1292,2017-11-27,0.0,0.0,0.0,2017,11,27,0,0,0.0,1,30,1,30,1,20,1,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,2.6666666666666665,1.3333333333333333,0.004320239474094066,0.004320239474094066,1.1253517471925912e-07,0.06217652402211632,0.9643690948860915,2.396949668898052e-33,0.1690133154060661,1.1253517471925912e-07,0.5596191218461927,1.0188617225283034e-21,0.9643690948860915
1293,2017-11-28,1927.0,2850.0,2807.0,2017,11,28,1,1,25.0,0,0,1,20,1,20,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,2.6666666666666665,1.3333333333333333,0.005383105741918052,0.003451541830562535,7.671105893720845e-08,0.07270717596764426,0.9448875602748896,5.4593307522331215e-33,0.19146289967870542,1.6434216793821234e-07,0.5192712990540764,5.242885663363464e-22,0.9448875602748896
1294,2017-11-29,0.0,0.0,0.0,2017,11,29,2,0,0.0,0,0,1,20,1,20,1,20,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,4.333333333333333,2.1666666666666665,0.006677108163747914,0.002745041231162644,5.205447572187675e-08,0.08463666150622445,0.9216104472977248,1.237799517733768e-32,0.21591298091726488,2.3891319952628224e-07,0.47965226883004425,2.685690341941217e-22,0.9216104472977248
1295,2017-11-30,0.0,0.0,0.0,2017,11,30,3,0,0.0,1,20,1,20,1,20,1,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,4.333333333333333,2.1666666666666665,0.008244689844825922,0.002173276647747907,3.516321581057925e-08,0.09807767964508253,0.8948393168143698,2.793776256466959e-32,0.24238362999515986,3.4574960100244164e-07,0.441051290941554,1.3695310990003124e-22,0.8948393168143698
1296,2017-12-01,35.5,145.0,56.5,2017,12,1,4,1,15.0,0,0,1,20,1,20,1,20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,25.0,3.3333333333333335,2.1666666666666665,0.010134227381485734,0.00171281936882384,2.3645554668615604e-08,0.11313897801910364,0.8649144172389205,6.277162123269114e-32,0.2708683284704635,4.980966734693725e-07,0.40372170860859763,6.95213617456976e-23,0.8649144172389205
1297,2017-12-02,0.0,0.0,0.0,2017,12,2,5,0,0.0,1,20,1,20,1,20,1,20,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,25.0,4.333333333333333,2.6666666666666665,0.012400448027957603,0.0013438120398556223,1.5828539209911236e-08,0.12992260830505947,0.8322075006903012,1.4039947359662446e-31,0.30133083890551066,7.143252560542774e-07,0.36787944117144233,3.513136727828072e-23,0.8322075006903012
