,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
2309,2017-10-15,0.0,0.0,0.0,2017,10,15,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,9.392490402701178e-20,3.567077669253329e-11,1.3069097000558088e-16,0.19146289967870542,0.022108538597039658,0.9216104472977248,0.03177804641749838,1.0197853771706282e-06,1.0855496653299211e-05,4.62058847615921e-09,0.9216104472977248
2310,2017-10-16,0.0,0.0,0.0,2017,10,16,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,4.9891093927950183e-20,2.2307970104970424e-11,2.3195228302435696e-16,0.21591298091726488,0.01831563888873418,0.8948393168143698,0.03784045853143394,1.449278887147761e-06,1.4945338524781451e-05,6.997045994265065e-09,0.8948393168143698
2311,2017-10-17,0.0,0.0,0.0,2017,10,17,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,2.6381270294181677e-20,1.3887943864964021e-11,4.0980960411175916e-16,0.24238362999515986,0.015104783999608878,0.8649144172389205,0.04485553036633267,2.050338474493025e-06,2.0482936846887517e-05,1.0547816779454457e-08,0.8649144172389205
2312,2017-10-18,0.0,0.0,0.0,2017,10,18,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.3886691616029176e-20,8.606890178604721e-12,7.207688734079356e-16,0.2708683284704635,0.012400448027957603,0.8322075006903012,0.05293050193270875,2.8875503621930407e-06,2.7945321209152884e-05,1.5828539209911236e-08,0.8322075006903012
2313,2017-10-19,0.0,0.0,0.0,2017,10,19,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,7.276663454088607e-21,5.309883359214771e-12,1.2619447026583566e-15,0.30133083890551066,0.010134227381485734,0.7971141629458125,0.06217652402211632,4.048218864632775e-06,3.795389888449303e-05,2.3645554668615604e-08,0.7971141629458125
2314,2017-10-20,0.0,0.0,0.0,2017,10,20,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,3.795737739100092e-21,3.2610248726700355e-12,2.1994547780410763e-15,0.33370241075447066,0.008244689844825922,0.760045927023468,0.07270717596764426,5.649744546949397e-06,5.131379054322775e-05,3.516321581057925e-08,0.760045927023468
2315,2017-10-21,0.0,0.0,0.0,2017,10,21,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.971017666651087e-21,1.9936717358377863e-12,3.816103628946825e-15,0.36787944117144233,0.006677108163747914,0.7214222903547561,0.08463666150622445,7.849175678309677e-06,6.906248619019833e-05,5.205447572187675e-08,0.7214222903547561
2316,2017-10-22,0.0,0.0,0.0,2017,10,22,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0188617225283034e-21,1.2133430395437822e-12,6.5910664926522654e-15,0.40372170860859763,0.005383105741918052,0.6816629478612286,0.09807767964508253,1.0855496653299211e-05,9.252960973638543e-05,7.671105893720845e-08,0.6816629478612286
2317,2017-10-23,0.0,0.0,0.0,2017,10,23,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,5.242885663363464e-22,7.35095839585829e-13,1.1332393247975474e-14,0.441051290941554,0.004320239474094066,0.6411803884299546,0.11313897801910364,1.4945338524781451e-05,0.00012340980408667956,1.1253517471925912e-07,0.6411803884299546
2318,2017-10-24,0.0,0.0,0.0,2017,10,24,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,2.685690341941217e-22,4.433377746328046e-13,1.939625972470827e-14,0.47965226883004425,0.003451541830562535,0.6003730411984044,0.12992260830505947,2.0482936846887517e-05,0.00016385096587198604,1.6434216793821234e-07,0.6003730411984044
2319,2017-10-25,0.0,0.0,0.0,2017,10,25,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.3695310990003124e-22,2.661680480344294e-13,3.3047967556318703e-14,0.5192712990540764,0.002745041231162644,0.5596191218461927,0.14852091655171076,2.7945321209152884e-05,0.00021656025755544176,2.3891319952628224e-07,0.5596191218461927
2320,2017-10-26,0.0,0.0,0.0,2017,10,26,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,6.95213617456976e-23,1.5907704423661305e-13,5.605339617595758e-14,0.5596191218461927,0.002173276647747907,0.5192712990540764,0.1690133154060661,3.795389888449303e-05,0.00028493048887656886,3.4574960100244164e-07,0.5596191218461927
2321,2017-10-27,0.0,0.0,0.0,2017,10,27,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,3.513136727828072e-23,9.464322195262531e-14,9.464322195262531e-14,0.6003730411984044,0.00171281936882384,0.47965226883004425,0.19146289967870542,5.131379054322775e-05,0.00037318957021707967,4.980966734693725e-07,0.6003730411984044
2322,2017-10-28,0.0,0.0,0.0,2017,10,28,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,1.7672673139340898e-23,5.605339617595758e-14,1.5907704423661305e-13,0.6411803884299546,0.0013438120398556223,0.441051290941554,0.21591298091726488,6.906248619019833e-05,0.0004865757746296883,7.143252560542774e-07,0.6411803884299546
