,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
1797,2016-04-14,0.0,50.0,29.0,2016,4,14,3,1,35.0,0,0,0,0,1,40,1,40,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.0,40.0,7.666666666666667,5.166666666666667,0.008244689844825922,3.4574960100244164e-07,0.00037318957021707967,2.1893050878062735e-24,3.795737739100092e-21,2.793776256466959e-32,4.9891093927950183e-20,2.2307970104970424e-11,7.35095839585829e-13,3.516321581057925e-08,0.008244689844825922
1798,2016-04-15,0.0,0.0,0.0,2016,4,15,4,0,0.0,0,0,1,40,1,40,1,40,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,40.0,10.0,6.333333333333333,0.010134227381485734,4.980966734693725e-07,0.00028493048887656886,1.0815214096490333e-24,7.276663454088607e-21,6.277162123269114e-32,2.6381270294181677e-20,1.3887943864964021e-11,4.433377746328046e-13,2.3645554668615604e-08,0.010134227381485734
1799,2016-04-16,0.0,0.0,0.0,2016,4,16,5,0,0.0,0,0,1,40,1,40,1,40,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0,7.333333333333333,6.333333333333333,0.012400448027957603,7.143252560542774e-07,0.00021656025755544176,5.318563715269067e-25,1.3886691616029176e-20,1.4039947359662446e-31,1.3886691616029176e-20,8.606890178604721e-12,2.661680480344294e-13,1.5828539209911236e-08,0.012400448027957603
1800,2016-04-17,0.0,0.0,0.0,2016,4,17,6,0,0.0,1,40,1,40,1,40,1,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,7.333333333333333,6.333333333333333,0.015104783999608878,1.0197853771706282e-06,0.00016385096587198604,2.603658507632229e-25,2.6381270294181677e-20,3.1260651434701166e-31,7.276663454088607e-21,5.309883359214771e-12,1.5907704423661305e-13,1.0547816779454457e-08,0.015104783999608878
1801,2016-04-18,0.0,34.0,9.0,2016,4,18,0,1,40.0,1,40,1,40,1,40,1,40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,7.333333333333333,6.333333333333333,0.01831563888873418,1.449278887147761e-06,0.00012340980408667956,1.2688318989310368e-25,4.9891093927950183e-20,6.928847118330195e-31,3.795737739100092e-21,3.2610248726700355e-12,9.464322195262531e-14,6.997045994265065e-09,0.01831563888873418
1802,2016-04-19,0.0,40.0,33.0,2016,4,19,1,1,40.0,0,0,0,0,1,40,1,40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,10.0,7.666666666666667,0.022108538597039658,2.050338474493025e-06,9.252960973638543e-05,6.155375693545423e-26,9.392490402701178e-20,1.5288129205360447e-30,1.971017666651087e-21,1.9936717358377863e-12,5.605339617595758e-14,4.62058847615921e-09,0.022108538597039658
1803,2016-04-20,0.0,0.0,0.0,2016,4,20,2,0,0.0,0,0,0,0,1,40,1,40,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,40.0,12.666666666666666,9.0,0.026566137145725102,2.8875503621930407e-06,6.906248619019833e-05,2.972593012420696e-26,1.760227914426155e-19,3.3579801181420154e-30,1.0188617225283034e-21,1.2133430395437822e-12,3.3047967556318703e-14,3.0374578711408626e-09,0.026566137145725102
1804,2016-04-21,0.0,0.0,0.0,2016,4,21,3,0,0.0,0,0,0,0,1,40,1,40,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,40.0,12.666666666666666,7.666666666666667,0.03177804641749838,4.048218864632775e-06,5.131379054322775e-05,1.429047782650265e-26,3.2838813589367143e-19,7.342303069252906e-30,5.242885663363464e-22,7.35095839585829e-13,1.939625972470827e-14,1.987712853292263e-09,0.03177804641749838
1805,2016-04-22,0.0,0.0,0.0,2016,4,22,4,0,0.0,0,0,0,0,1,40,1,40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,12.666666666666666,7.666666666666667,0.03784045853143394,5.649744546949397e-06,3.795389888449303e-05,6.838934727824874e-27,6.098688103116819e-19,1.5981476628267853e-29,2.685690341941217e-22,4.433377746328046e-13,1.1332393247975474e-14,1.2948737877910746e-09,0.03784045853143394
1806,2016-04-23,0.0,0.0,0.0,2016,4,23,5,0,0.0,0,0,1,40,1,40,1,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,10.333333333333334,7.666666666666667,0.04485553036633267,7.849175678309677e-06,2.7945321209152884e-05,3.2580712504375464e-27,1.1274980485847069e-18,3.4628359020592734e-29,1.3695310990003124e-22,2.661680480344294e-13,6.5910664926522654e-15,8.397144824858431e-10,0.04485553036633267
